FID	IID	bolt	flower	C	N	CN	di	asdi	diasdi	ped_order
ESP	76	35	39	34.946	1.896	18.4314346	6.014247908	2.355714556	2.55304612	163
ESP	78s_clipped	38	44	35.529	1.853	19.17377226	NA	NA	NA	164
ESP	79	36	41	37.727	1.815	20.7862259	3.564553996	2.100898966	1.696680352	165
ESP	7s_clipped	43	NA	36.504	1.573	23.20661157	4.004790497	2.16612586	1.848826318	166
ESP	8	35	48	34.581	2.532	13.65758294	5.257078817	2.399731025	2.190695025	167
ESP	80s_clipped	41	46	38.375	1.829	20.98141061	4.641202501	2.678177608	1.732970393	168
ESP	81s_clipped	55	NA	37.412	2.665	14.03827392	5.463574077	2.843718012	1.92127843	169
ESP	82s_clipped	38	46	36.917	1.506	24.51328021	3.940636903	2.720170222	1.448672907	170
ESP	83	34	37	34.158	2.95	11.57898305	NA	NA	NA	171
ESP	85_long	34	37	36.34	1.811	20.06626173	5.313612319	1.831198779	2.901712462	172
ESP	86	35	38	35.737	1.708	20.92330211	3.800053124	2.440186537	1.557279768	173
ESP	87	35	39	36.764	1.652	22.25423729	5.79806953	1.939910657	2.988833279	174
ESP	88_clipped	34	39	35.261	1.664	21.19050481	3.011261489	2.658312081	1.132771999	175
ESP	89	42	48	37.583	2.606	14.42171911	8.568208189	3.367980857	2.544019267	176
ESP	9	35	42	36.074	3.28	10.99817073	NA	NA	NA	177
ESP	90	40	44	38.799	1.53	25.35882353	NA	NA	NA	178
ESP	91	35	36	33.473	2.002	16.71978022	NA	NA	NA	179
ESP	91x35	NA	NA	NA	NA	NA	NA	NA	NA	180
ESP	92	39	44	36.954	2.366	15.61876585	2.6271407	1.539644755	1.706329133	181
ESP	93	41	46	36.845	2.619	14.0683467	NA	NA	NA	182
ESP	94	NA	NA	37.661	1.584	23.77588384	3.680347257	2.498072087	1.473275041	183
ESP	95	34	38	36.309	1.979	18.34714502	5.327083807	2.491350296	2.13823155	184
ESP	96	35	39	35.107	2.316	15.15846287	4.536469168	2.078048125	2.183043363	185
ESP	97_3	35	38	34.771	2.899	11.99413591	4.549971987	2.147781454	2.118452033	186
ESP	98_clipped	41	45	36.92	1.781	20.72992701	4.745820201	2.928929726	1.620325731	187
ESP	99_clipped	47	53	36.468	2.105	17.32446556	NA	NA	NA	188
